Commune,ID,MeanRT,MeanCases,Sum_AE,LOC_RISK,JAN_EVI_ME,OCT_EVI_ME,JAN_LST_ME,OCT_LST_ME,JAN_NDVI_M,OCT_NDVI_M,Dep_RT,Casa_RT,Piez_RT,Med_RT,Ranch_RT,Ruca_RT,Movil_RT,col_rt,x,y,long,lat
Calera de Tango                                                                                                                                                                                                                                               , 319,    0.5484,    0.1000,   1,       0.0000000000, 3.27491492033e-001, 3.01195710897e-001, 3.32862815857e+001, 2.96708984375e+001, 5.34898638725e-001, 5.35092830658e-001,    0.0006,    0.9102,    0.0135,    0.0662,    0.0039,    0.0000,    0.0009,    0.0015, 3.34e+005, 6.28e+006,-7.08e+001,-3.36e+001
Padre Hurtado                                                                                                                                                                                                                                                 , 320,    0.0000,    0.0000,   0,       0.0000000000, 2.82223552465e-001, 3.24370592833e-001, 3.46288490295e+001, 2.80384597778e+001, 4.84434843063e-001, 5.88080942631e-001,    0.0012,    0.9116,    0.0144,    0.0666,    0.0015,    0.0000,    0.0000,    0.0021, 3.26e+005, 6.29e+006,-7.09e+001,-3.36e+001
El Monte                                                                                                                                                                                                                                                      , 321,    0.3779,    0.1000,   0,       0.0000000000, 3.19184750319e-001, 3.35026174784e-001, 3.23131675720e+001, 2.57769622803e+001, 5.66165983677e-001, 6.35893702507e-001,    0.1056,    0.8260,    0.0071,    0.0527,    0.0040,    0.0000,    0.0000,    0.0017, 3.12e+005, 6.27e+006,-7.10e+001,-3.37e+001
Talagante                                                                                                                                                                                                                                                     , 322,    0.3344,    0.2000,   0,       0.0000000000, 3.26373934746e-001, 3.12922030687e-001, 3.39850349426e+001, 2.91024475098e+001, 5.23436367512e-001, 5.62961578369e-001,    0.0671,    0.8837,    0.0099,    0.0325,    0.0014,    0.0000,    0.0003,    0.0020, 3.24e+005, 6.27e+006,-7.09e+001,-3.37e+001
Isla de Maipo                                                                                                                                                                                                                                                 , 323,    0.0000,    0.0000,   0,       0.0000000000, 3.03321987391e-001, 2.87896275520e-001, 3.24676895142e+001, 2.74402160645e+001, 5.29068827629e-001, 5.55957317352e-001,    0.0014,    0.9340,    0.0097,    0.0463,    0.0021,    0.0000,    0.0001,    0.0025, 3.20e+005, 6.26e+006,-7.09e+001,-3.37e+001
Mafil                                                                                                                                                                                                                                                         , 324,    0.0000,    0.0000,   0,       0.0000000000, 4.73532617092e-001, 4.40582066774e-001, 2.19927158356e+001, 1.54758014679e+001, 7.57281720638e-001, 7.82052516937e-001,    0.0005,    0.9259,    0.0102,    0.0477,    0.0051,    0.0000,    0.0000,    0.0069, 1.69e+005, 5.60e+006,-7.29e+001,-3.97e+001
Los Lagos                                                                                                                                                                                                                                                     , 325,    0.0000,    0.0000,   0,       0.0000000000, 4.61307555437e-001, 4.08489167690e-001, 1.92932624817e+001, 1.53158817291e+001, 7.74949312210e-001, 7.81256496906e-001,    0.0017,    0.9430,    0.0047,    0.0352,    0.0064,    0.0000,    0.0005,    0.0042, 1.96e+005, 5.58e+006,-7.26e+001,-3.99e+001
Paillaco                                                                                                                                                                                                                                                      , 326,    0.0000,    0.0000,   0,       0.0000000000, 4.78611946106e-001, 4.50004011393e-001, 2.11136779785e+001, 1.79727096558e+001, 7.44354963303e-001, 7.65671670437e-001,    0.0017,    0.9273,    0.0059,    0.0471,    0.0024,    0.0000,    0.0002,    0.0074, 1.72e+005, 5.56e+006,-7.28e+001,-4.01e+001
Corral                                                                                                                                                                                                                                                        , 327,    0.0000,    0.0000,   0,       0.0000000000, 4.32103574276e-001, 3.71664285660e-001, 1.88137474060e+001, 1.47855005264e+001, 8.08995485306e-001, 7.95136451721e-001,    0.0010,    0.9191,    0.0041,    0.0578,    0.0026,    0.0000,    0.0000,    0.0113, 1.27e+005, 5.56e+006,-7.34e+001,-4.00e+001
Lanco                                                                                                                                                                                                                                                         , 329,    0.0000,    0.0000,   0,       0.0000000000, 4.67104494572e-001, 4.22976464033e-001, 2.16420173645e+001, 1.64660968781e+001, 7.67845451832e-001, 7.74231314659e-001,    0.0004,    0.9407,    0.0052,    0.0379,    0.0015,    0.0000,    0.0000,    0.0100, 1.89e+005, 5.62e+006,-7.26e+001,-3.95e+001
Mariquina                                                                                                                                                                                                                                                     , 330,    0.0000,    0.0000,   0,       0.0000000000, 4.64941382408e-001, 4.11899209023e-001, 2.01257114410e+001, 1.43544359207e+001, 7.72652208805e-001, 7.73032367229e-001,    0.0005,    0.9121,    0.0057,    0.0596,    0.0044,    0.0002,    0.0000,    0.0068, 1.54e+005, 5.62e+006,-7.30e+001,-3.95e+001
Futrono                                                                                                                                                                                                                                                       , 331,    0.0000,    0.0000,   0,       0.0000000000, 4.30781245232e-001, 3.39622855186e-001, 1.67539978027e+001, 1.34985485077e+001, 7.86282062531e-001, 6.84252619743e-001,    0.0023,    0.9334,    0.0051,    0.0424,    0.0034,    0.0004,    0.0002,    0.0068, 2.34e+005, 5.55e+006,-7.21e+001,-4.01e+001
Lago Ranco                                                                                                                                                                                                                                                    , 332,    0.0000,    0.0000,   0,       0.0000000000, 3.60478967428e-001, 2.86413669586e-001, 1.75737876892e+001, 1.38786001205e+001, 7.12175965309e-001, 6.52721762657e-001,    0.0006,    0.9306,    0.0044,    0.0455,    0.0061,    0.0000,    0.0006,    0.0064, 2.31e+005, 5.53e+006,-7.22e+001,-4.04e+001
Panguipulli                                                                                                                                                                                                                                                   , 333,    0.0000,    0.0000,   0,       0.0000000000, 4.14248526096e-001, 3.28709959984e-001, 1.88226337433e+001, 1.42640190125e+001, 7.63872861862e-001, 6.86041057110e-001,    0.0014,    0.9379,    0.0030,    0.0371,    0.0095,    0.0001,    0.0001,    0.0079, 2.40e+005, 5.60e+006,-7.20e+001,-3.97e+001
La Union                                                                                                                                                                                                                                                      , 334,    0.0000,    0.0000,   0,       0.0000000000, 4.61181074381e-001, 4.26068723202e-001, 1.98280582428e+001, 1.47384681702e+001, 7.73279666901e-001, 7.95135498047e-001,    0.0215,    0.8997,    0.0100,    0.0586,    0.0025,    0.0000,    0.0001,    0.0044, 1.41e+005, 5.54e+006,-7.32e+001,-4.02e+001
Rio Bueno                                                                                                                                                                                                                                                     , 335,    0.0000,    0.0000,   0,       0.0000000000, 4.54894751310e-001, 4.36178892851e-001, 2.15469760895e+001, 1.67252635956e+001, 7.20144450665e-001, 7.16564536095e-001,    0.0210,    0.9178,    0.0063,    0.0443,    0.0037,    0.0001,    0.0007,    0.0039, 2.00e+005, 5.51e+006,-7.25e+001,-4.05e+001
Quillon                                                                                                                                                                                                                                                       , 336,    0.0000,    0.0000,   0,       0.0000000000, 3.30427139997e-001, 3.29225063324e-001, 3.25122451782e+001, 2.08765392303e+001, 5.91385543346e-001, 6.61880850792e-001,    0.0005,    0.2978,    0.0097,    0.0312,    0.0094,    0.0000,    0.0006,    0.0018, 1.88e+005, 5.92e+006,-7.25e+001,-3.68e+001
Arica                                                                                                                                                                                                                                                         , 337,    3.6704,    6.8000,   5,       3.0393226514, 6.40722587705e-002, 6.51099607348e-002, 4.14106979370e+001, 3.97944564819e+001, 9.07936692238e-002, 9.14280787110e-002,    0.0893,    0.8341,    0.0088,    0.0448,    0.0094,    0.0000,    0.0007,    0.0048, 3.97e+005, 7.95e+006,-7.00e+001,-1.85e+001
General Lagos                                                                                                                                                                                                                                                 , 338,    0.0000,    0.0000,   0,       0.0000000000, 7.95063301921e-002, 7.26715624332e-002, 2.88220157623e+001, 3.64705009460e+001, 1.32298022509e-001, 1.15387581289e-001,    0.0045,    0.7069,    0.0067,    0.0336,    0.2013,    0.0000,    0.0268,    0.0179, 4.39e+005, 8.03e+006,-6.96e+001,-1.78e+001
Camarones                                                                                                                                                                                                                                                     , 339,   24.5902,    0.3000,   2,      19.9171489993, 6.32899701595e-002, 6.14760108292e-002, 3.72911109924e+001, 3.89107475281e+001, 1.01239740849e-001, 9.58923995495e-002,    0.0000,    0.7097,    0.0076,    0.1565,    0.1049,    0.0000,    0.0000,    0.0106, 4.26e+005, 7.91e+006,-6.97e+001,-1.89e+001
Putre                                                                                                                                                                                                                                                         , 340,    0.0000,    0.0000,   0,       0.0000000000, 7.17230513692e-002, 6.74966499209e-002, 2.89221000671e+001, 3.51738357544e+001, 1.22046582401e-001, 1.10026851296e-001,    0.0000,    0.6197,    0.0329,    0.0713,    0.2057,    0.0000,    0.0009,    0.0320, 4.67e+005, 7.96e+006,-6.93e+001,-1.84e+001
O'Higgins                                                                                                                                                                                                                                                     , 341,    0.0000,    0.0000,   0,       0.0000000000, 1.62544444203e-001, 7.08201304078e-002, 1.02684326172e+001, 5.69396448135e+000, 3.09015840292e-001, 1.43019884825e-001,    0.0040,    0.8755,    0.0000,    0.0241,    0.0281,    0.0000,    0.0000,    0.0522, 2.11e+005, 4.62e+006,-7.29e+001,-4.85e+001
